STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,SPECIES,Species,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVENTION,Agricultural convention,CURRENCY,Currency
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,BEL,Belgium,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,223,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,ITA,Italy,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,145861.9,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,SWE,Sweden,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,15253,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,GBR,United Kingdom,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,230279.5,,E,Estimated value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,SVN,Slovenia,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,1685.9,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,ROU,Romania,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,11714,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,KOR,Korea,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,2427676.928,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,BGD,Bangladesh,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,2638745,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,ESP,Spain,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,279910.049,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,NOR,Norway,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,1665112.048,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,MEX,Mexico,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,246913.703,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,IND,India,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,9408300,,E,Estimated value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,USA,United States,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,448614.606,,E,Estimated value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,THA,Thailand,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,989898,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,TUR,Türkiye,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,471686,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,CRI,Costa Rica,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,17309.4,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,ISR,Israel,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,14875,,E,Estimated value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,PER,Peru,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,150817.595,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,MYS,Malaysia,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,416978.41,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,FRA,France,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,198885.7,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,RUS,Russia,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,319342,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,POL,Poland,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,44787,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,BGR,Bulgaria,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,15173.62,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,FIN,Finland,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,14399.4,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,CZE,Czechia,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,20991,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,CHE,Switzerland,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,2364,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,CHN,China (People’s Republic of),A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,72805297,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,LTU,Lithuania,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,5137.71,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,LVA,Latvia,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,901.4,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,DEU,Germany,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,32649,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,AUS,Australia,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,126206.338,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,NLD,Netherlands,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,40590,,E,Estimated value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,CAN,Canada,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,191449,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,BRA,Brazil,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,650356.308,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,HUN,Hungary,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,17846.74,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,ARG,Argentina,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,3687,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,PHL,Philippines,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,2272527.54,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,EST,Estonia,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,849.46,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,DNK,Denmark,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,40594.2,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,ISL,Iceland,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,53136,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,JPN,Japan,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,963679.6,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,HRV,Croatia,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,26830.7,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,TWN,Chinese Taipei,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,274789.566,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,NZL,New Zealand,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,116839,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,CHL,Chile,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,1443520,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,PRT,Portugal,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,19516.475,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,GRC,Greece,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,143925.564,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,COL,Colombia,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,192521.003,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,AUT,Austria,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,4920.413,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,VNM,Viet Nam,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,4749273.83,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,IRL,Ireland,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,42099,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,SVK,Slovak Republic,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,2304,,E,Estimated value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_AQUA(1.0),Aquaculture production,I,IDN,Indonesia,A,Annual,AQUA_PD,Aquaculture production,_T,Total,T,Tonnes,2021,,14606533.56,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
fq,dfdf,dfd,efqwef,efq,dfdf,dfd,efqwef,efq,dfdf,dfd,efqwef,dfdf,dfd,efqwef,efq,dfdf,dfd,efqwef,efq,dfdf,dfd,efqwef,,,,,,,