Element,Item,Year,Unit,Value,Flag,Flag Description
Yield,Peaches and nectarines,1993,100 g/ha,94968,A,Official figure
Production,Peaches and nectarines,1993,t,39127,A,Official figure
Area harvested,Peaches and nectarines,1994,ha,4129,A,Official figure
Yield,Peaches and nectarines,1994,100 g/ha,106944,A,Official figure
Production,Peaches and nectarines,1994,t,44157,A,Official figure
Area harvested,Peaches and nectarines,1995,ha,4024,A,Official figure
Yield,Peaches and nectarines,1995,100 g/ha,117122,A,Official figure
Production,Peaches and nectarines,1995,t,47130,A,Official figure
Area harvested,Peaches and nectarines,1996,ha,3607,A,Official figure
Yield,Peaches and nectarines,1996,100 g/ha,113690,A,Official figure
Production,Peaches and nectarines,1996,t,41008,A,Official figure
Area harvested,Peaches and nectarines,1997,ha,3377,A,Official figure
Yield,Peaches and nectarines,1997,100 g/ha,88813,A,Official figure
Production,Peaches and nectarines,1997,t,29992,A,Official figure
Area harvested,Peaches and nectarines,1998,ha,3217,A,Official figure
Yield,Peaches and nectarines,1998,100 g/ha,104218,A,Official figure
Production,Peaches and nectarines,1998,t,33527,A,Official figure
Area harvested,Peaches and nectarines,1999,ha,3102,A,Official figure
Yield,Peaches and nectarines,1999,100 g/ha,102592,A,Official figure
Production,Peaches and nectarines,1999,t,31824,A,Official figure
Area harvested,Peaches and nectarines,2000,ha,3072,A,Official figure
Yield,Peaches and nectarines,2000,100 g/ha,105234,A,Official figure
Production,Peaches and nectarines,2000,t,32328,A,Official figure
Area harvested,Peaches and nectarines,2001,ha,3161,A,Official figure
Yield,Peaches and nectarines,2001,100 g/ha,107757,A,Official figure
Production,Peaches and nectarines,2001,t,34062,A,Official figure
Area harvested,Peaches and nectarines,2002,ha,3088,A,Official figure
Yield,Peaches and nectarines,2002,100 g/ha,107273,A,Official figure
Production,Peaches and nectarines,2002,t,33126,A,Official figure
Area harvested,Peaches and nectarines,2003,ha,3275,A,Official figure
Yield,Peaches and nectarines,2003,100 g/ha,108412,A,Official figure
Production,Peaches and nectarines,2003,t,35505,A,Official figure
Area harvested,Peaches and nectarines,2004,ha,3197,A,Official figure
Yield,Peaches and nectarines,2004,100 g/ha,105624,A,Official figure
Production,Peaches and nectarines,2004,t,33768,A,Official figure
Area harvested,Peaches and nectarines,2005,ha,2831,A,Official figure
Yield,Peaches and nectarines,2005,100 g/ha,89996,A,Official figure
Production,Peaches and nectarines,2005,t,25478,A,Official figure
Area harvested,Peaches and nectarines,2006,ha,3031,A,Official figure
Yield,Peaches and nectarines,2006,100 g/ha,103415,A,Official figure
Production,Peaches and nectarines,2006,t,31345,A,Official figure
Area harvested,Peaches and nectarines,2007,ha,3257,A,Official figure
Yield,Peaches and nectarines,2007,100 g/ha,113058,A,Official figure
Production,Peaches and nectarines,2007,t,36823,A,Official figure
Area harvested,Peaches and nectarines,2008,ha,3170,A,Official figure
Yield,Peaches and nectarines,2008,100 g/ha,90972,A,Official figure
Production,Peaches and nectarines,2008,t,28838,A,Official figure
Area harvested,Peaches and nectarines,2009,ha,2413,A,Official figure
Yield,Peaches and nectarines,2009,100 g/ha,107128,A,Official figure
Production,Peaches and nectarines,2009,t,25850,A,Official figure
Area harvested,Peaches and nectarines,2010,ha,2553,A,Official figure
Yield,Peaches and nectarines,2010,100 g/ha,100541,A,Official figure
Production,Peaches and nectarines,2010,t,25668,A,Official figure
Area harvested,Peaches and nectarines,2011,ha,3014,A,Official figure
Yield,Peaches and nectarines,2011,100 g/ha,90816,A,Official figure
Production,Peaches and nectarines,2011,t,27372,A,Official figure
Area harvested,Peaches and nectarines,2012,ha,2930,A,Official figure
Yield,Peaches and nectarines,2012,100 g/ha,83321,A,Official figure
Production,Peaches and nectarines,2012,t,24413,A,Official figure
Area harvested,Peaches and nectarines,2013,ha,2876,A,Official figure
Yield,Peaches and nectarines,2013,100 g/ha,95038,A,Official figure
Production,Peaches and nectarines,2013,t,27333,A,Official figure
Area harvested,Peaches and nectarines,2014,ha,2838,A,Official figure
Yield,Peaches and nectarines,2014,100 g/ha,95853,A,Official figure
Production,Peaches and nectarines,2014,t,27203,A,Official figure
Area harvested,Peaches and nectarines,2015,ha,2752,A,Official figure
Yield,Peaches and nectarines,2015,100 g/ha,103641,A,Official figure
Production,Peaches and nectarines,2015,t,28522,A,Official figure
Area harvested,Peaches and nectarines,2016,ha,2674,A,Official figure
Yield,Peaches and nectarines,2016,100 g/ha,97951,A,Official figure
Production,Peaches and nectarines,2016,t,26192,A,Official figure
Area harvested,Peaches and nectarines,2017,ha,2551,A,Official figure
Yield,Peaches and nectarines,2017,100 g/ha,100674,A,Official figure
Production,Peaches and nectarines,2017,t,25682,A,Official figure
Area harvested,Peaches and nectarines,2018,ha,2555,A,Official figure
Yield,Peaches and nectarines,2018,100 g/ha,110916,A,Official figure
Production,Peaches and nectarines,2018,t,28339,A,Official figure
Area harvested,Peaches and nectarines,2019,ha,2433,A,Official figure
Yield,Peaches and nectarines,2019,100 g/ha,108085,A,Official figure
Production,Peaches and nectarines,2019,t,26297,A,Official figure
Area harvested,Peaches and nectarines,2020,ha,2338,A,Official figure
Yield,Peaches and nectarines,2020,100 g/ha,83426,A,Official figure
Production,Peaches and nectarines,2020,t,19505,A,Official figure
Area harvested,Peaches and nectarines,2021,ha,2494,A,Official figure
Yield,Peaches and nectarines,2021,100 g/ha,95148,A,Official figure
Production,Peaches and nectarines,2021,t,23730,A,Official figure
Area harvested,Peaches and nectarines,2022,ha,2499,A,Official figure
Yield,Peaches and nectarines,2022,100 g/ha,101204,A,Official figure
Production,Peaches and nectarines,2022,t,25291,A,Official figure
Area harvested,Wheat,1961,ha,10245000,A,Official figure
Yield,Wheat,1961,100 g/ha,7529,A,Official figure
Production,Wheat,1961,t,7713000,A,Official figure
Area harvested,Wheat,1962,ha,10853000,A,Official figure
Yield,Wheat,1962,100 g/ha,14183,A,Official figure
Production,Wheat,1962,t,15393000,A,Official figure
Area harvested,Wheat,1963,ha,11156000,A,Official figure
Yield,Wheat,1963,100 g/ha,17651,A,Official figure
Production,Wheat,1963,t,19691008,A,Official figure
Area harvested,Wheat,1964,ha,12018000,A,Official figure
Yield,Wheat,1964,100 g/ha,13604,A,Official figure
Production,Wheat,1964,t,16349000,A,Official figure
Area harvested,Wheat,1965,ha,11453000,A,Official figure
Yield,Wheat,1965,100 g/ha,15432,A,Official figure
Production,Wheat,1965,t,17674000,A,Official figure
Area harvested,Wheat,1966,ha,12015961,A,Official figure
Yield,Wheat,1966,100 g/ha,18739,A,Official figure
Production,Wheat,1966,t,22516832,A,Official figure
Area harvested,Wheat,1967,ha,12189285,A,Official figure
Yield,Wheat,1967,100 g/ha,13239,A,Official figure
Production,Wheat,1967,t,16136911,A,Official figure
Area harvested,Wheat,1968,ha,11907911,A,Official figure
Yield,Wheat,1968,100 g/ha,14855,A,Official figure
Production,Wheat,1968,t,17689040,A,Official figure
Area harvested,Wheat,1969,ha,10101420,A,Official figure
Yield,Wheat,1969,100 g/ha,18084,A,Official figure
Production,Wheat,1969,t,18267712,A,Official figure
Area harvested,Wheat,1970,ha,5051782,A,Official figure
Yield,Wheat,1970,100 g/ha,17864,A,Official figure
Production,Wheat,1970,t,9024254,A,Official figure
Area harvested,Wheat,1971,ha,7853503,A,Official figure
Yield,Wheat,1971,100 g/ha,18351,A,Official figure
Production,Wheat,1971,t,14412287,A,Official figure
Area harvested,Wheat,1972,ha,8639797,A,Official figure
Yield,Wheat,1972,100 g/ha,16799,A,Official figure
Production,Wheat,1972,t,14513966,A,Official figure
Area harvested,Wheat,1973,ha,9575012,A,Official figure
Yield,Wheat,1973,100 g/ha,16876,A,Official figure
Production,Wheat,1973,t,16159170,A,Official figure
Area harvested,Wheat,1974,ha,8938000,A,Official figure
Yield,Wheat,1974,100 g/ha,14884,A,Official figure
Production,Wheat,1974,t,13303500,A,Official figure
Area harvested,Wheat,1975,ha,9478739,A,Official figure
Yield,Wheat,1975,100 g/ha,18020,A,Official figure
Production,Wheat,1975,t,17080608,A,Official figure
Area harvested,Wheat,1976,ha,11251700,A,Official figure
Yield,Wheat,1976,100 g/ha,20963,A,Official figure
Production,Wheat,1976,t,23587200,A,Official figure
Area harvested,Wheat,1977,ha,10115400,A,Official figure
Yield,Wheat,1977,100 g/ha,19632,A,Official figure
Production,Wheat,1977,t,19858208,A,Official figure
Area harvested,Wheat,1978,ha,10575100,A,Official figure
Yield,Wheat,1978,100 g/ha,19987,A,Official figure
Production,Wheat,1978,t,21136800,A,Official figure
Area harvested,Wheat,1979,ha,10523100,A,Official figure
Yield,Wheat,1979,100 g/ha,16341,A,Official figure
Production,Wheat,1979,t,17196000,A,Official figure
Area harvested,Wheat,1980,ha,11208400,A,Official figure
Yield,Wheat,1980,100 g/ha,17212,A,Official figure
Production,Wheat,1980,t,19292000,A,Official figure
Area harvested,Wheat,1981,ha,12426600,A,Official figure
Yield,Wheat,1981,100 g/ha,19959,A,Official figure
Production,Wheat,1981,t,24802000,A,Official figure
Area harvested,Wheat,1982,ha,12521000,A,Official figure
Yield,Wheat,1982,100 g/ha,21336,A,Official figure
Production,Wheat,1982,t,26715008,A,Official figure
Area harvested,Wheat,1983,ha,13680500,A,Official figure
Yield,Wheat,1983,100 g/ha,19345,A,Official figure
Production,Wheat,1983,t,26465008,A,Official figure
Area harvested,Wheat,1984,ha,13160900,A,Official figure
Yield,Wheat,1984,100 g/ha,16099,A,Official figure
Production,Wheat,1984,t,21187904,A,Official figure
Area harvested,Wheat,1985,ha,13729000,A,Official figure
Yield,Wheat,1985,100 g/ha,17665,A,Official figure
Production,Wheat,1985,t,24252000,A,Official figure
Area harvested,Wheat,1986,ha,14229400,A,Official figure
Yield,Wheat,1986,100 g/ha,22052,A,Official figure
Production,Wheat,1986,t,31378000,A,Official figure
Area harvested,Wheat,1987,ha,13457700,A,Official figure
Yield,Wheat,1987,100 g/ha,19279,A,Official figure
Production,Wheat,1987,t,25945000,A,Official figure
Area harvested,Wheat,1988,ha,12944300,A,Official figure
Yield,Wheat,1988,100 g/ha,12293,A,Official figure
Production,Wheat,1988,t,15913000,A,Official figure
Area harvested,Wheat,1989,ha,13717500,A,Official figure
Yield,Wheat,1989,100 g/ha,18076,A,Official figure
Production,Wheat,1989,t,24796208,A,Official figure
Area harvested,Wheat,1990,ha,14097500,A,Official figure
Yield,Wheat,1990,100 g/ha,22769,A,Official figure
Production,Wheat,1990,t,32098000,A,Official figure
Area harvested,Wheat,1991,ha,14160900,A,Official figure
Yield,Wheat,1991,100 g/ha,22559,A,Official figure
Production,Wheat,1991,t,31945600,A,Official figure
Area harvested,Wheat,1992,ha,13830300,A,Official figure
Yield,Wheat,1992,100 g/ha,21603,A,Official figure
Production,Wheat,1992,t,29877200,A,Official figure
Area harvested,Wheat,1993,ha,12374000,A,Official figure
Yield,Wheat,1993,100 g/ha,22027,A,Official figure
Production,Wheat,1993,t,27255900,A,Official figure
Area harvested,Wheat,1994,ha,10773000,A,Official figure
Yield,Wheat,1994,100 g/ha,21275,A,Official figure
Production,Wheat,1994,t,22919500,A,Official figure
Area harvested,Wheat,1995,ha,11122700,A,Official figure
Yield,Wheat,1995,100 g/ha,22467,A,Official figure
Production,Wheat,1995,t,24989400,A,Official figure
Area harvested,Wheat,1996,ha,12262000,A,Official figure
Yield,Wheat,1996,100 g/ha,24304,A,Official figure
Production,Wheat,1996,t,29801400,A,Official figure
Area harvested,Wheat,1997,ha,11416000,A,Official figure
Yield,Wheat,1997,100 g/ha,21285,A,Official figure
Production,Wheat,1997,t,24299400,A,Official figure
Area harvested,Wheat,1998,ha,10679700,A,Official figure
Yield,Wheat,1998,100 g/ha,22550,A,Official figure
Production,Wheat,1998,t,24082300,A,Official figure
Area harvested,Wheat,1999,ha,10380800,A,Official figure
Yield,Wheat,1999,100 g/ha,25971,A,Official figure
Production,Wheat,1999,t,26959900,A,Official figure
Area harvested,Wheat,2000,ha,10854800,A,Official figure
Yield,Wheat,2000,100 g/ha,24446,A,Official figure
Production,Wheat,2000,t,26535500,A,Official figure
Area harvested,Wheat,2001,ha,10605500,A,Official figure
Yield,Wheat,2001,100 g/ha,19452,A,Official figure
Production,Wheat,2001,t,20630200,A,Official figure
Area harvested,Wheat,2002,ha,8710500,A,Official figure
Yield,Wheat,2002,100 g/ha,18324,A,Official figure
Production,Wheat,2002,t,15961300,A,Official figure
Area harvested,Wheat,2003,ha,10214500,A,Official figure
Yield,Wheat,2003,100 g/ha,22565,A,Official figure
Production,Wheat,2003,t,23048600,A,Official figure
Area harvested,Wheat,2004,ha,9388900,A,Official figure
Yield,Wheat,2004,100 g/ha,26409,A,Official figure
Production,Wheat,2004,t,24795500,A,Official figure
Area harvested,Wheat,2005,ha,9403800,A,Official figure
Yield,Wheat,2005,100 g/ha,27381,A,Official figure
Production,Wheat,2005,t,25748100,A,Official figure
Area harvested,Wheat,2006,ha,9681800,A,Official figure
Yield,Wheat,2006,100 g/ha,26096,A,Official figure
Production,Wheat,2006,t,25265400,A,Official figure
Area harvested,Wheat,2007,ha,8616100,A,Official figure
Yield,Wheat,2007,100 g/ha,23317,A,Official figure
Production,Wheat,2007,t,20090400,A,Official figure
Area harvested,Wheat,2008,ha,10015500,A,Official figure
Yield,Wheat,2008,100 g/ha,28575,A,Official figure
Production,Wheat,2008,t,28619200,A,Official figure
Area harvested,Wheat,2009,ha,9660400,A,Official figure
Yield,Wheat,2009,100 g/ha,27897,A,Official figure
Production,Wheat,2009,t,26949900,A,Official figure
Area harvested,Wheat,2010,ha,8296100,A,Official figure
Yield,Wheat,2010,100 g/ha,28085,A,Official figure
Production,Wheat,2010,t,23299600,A,Official figure
Area harvested,Wheat,2011,ha,8552500,A,Official figure
Yield,Wheat,2011,100 g/ha,29568,A,Official figure
Production,Wheat,2011,t,25288000,A,Official figure
Area harvested,Wheat,2012,ha,9479100,A,Official figure
Yield,Wheat,2012,100 g/ha,28743,A,Official figure
Production,Wheat,2012,t,27246000,A,Official figure
Area harvested,Wheat,2013,ha,10447200,A,Official figure
Yield,Wheat,2013,100 g/ha,35980,A,Official figure
Production,Wheat,2013,t,37589100,A,Official figure
Area harvested,Wheat,2014,ha,9553500,A,Official figure
Yield,Wheat,2014,100 g/ha,30818,A,Official figure
Production,Wheat,2014,t,29442100,A,Official figure
Area harvested,Wheat,2015,ha,9558300,A,Official figure
Yield,Wheat,2015,100 g/ha,28925,A,Official figure
Production,Wheat,2015,t,27647400,A,Official figure
Area harvested,Wheat,2016,ha,8976300,A,Official figure
Yield,Wheat,2016,100 g/ha,35805,A,Official figure
Production,Wheat,2016,t,32139900,A,Official figure
Area harvested,Wheat,2017,ha,8983300,A,Official figure
Yield,Wheat,2017,100 g/ha,33815,A,Official figure
Production,Wheat,2017,t,30377235,A,Official figure
Area harvested,Wheat,2018,ha,9880800,A,Official figure
Yield,Wheat,2018,100 g/ha,32742,A,Official figure
Production,Wheat,2018,t,32351900,A,Official figure
Area harvested,Wheat,2019,ha,9655800,A,Official figure
Yield,Wheat,2019,100 g/ha,33834,A,Official figure
Production,Wheat,2019,t,32669800,A,Official figure
Area harvested,Wheat,2020,ha,10017800,A,Official figure
Yield,Wheat,2020,100 g/ha,35374,A,Official figure
Production,Wheat,2020,t,35437200,A,Official figure
Area harvested,Wheat,2021,ha,9198900,A,Official figure
Yield,Wheat,2021,100 g/ha,24375,A,Official figure
Production,Wheat,2021,t,22422100,A,Official figure
Area harvested,Wheat,2022,ha,10081900,A,Official figure
Yield,Wheat,2022,100 g/ha,34056,A,Official figure
Production,Wheat,2022,t,34334787,A,Official figure
Production,Wine,1961,t,21827.4,I,Imputed value
Production,Wine,1962,t,25107.6,I,Imputed value
Production,Wine,1963,t,25632.6,I,Imputed value
Production,Wine,1964,t,26597.2,I,Imputed value
Production,Wine,1965,t,24131.1,I,Imputed value
Production,Wine,1966,t,28956.9,I,Imputed value
Production,Wine,1967,t,33656.7,I,Imputed value
Production,Wine,1968,t,34291.6,I,Imputed value
Production,Wine,1969,t,36196.3,I,Imputed value
Production,Wine,1970,t,41911.8,I,Imputed value
Production,Wine,1971,t,55247.5,I,Imputed value
Production,Wine,1972,t,41909,I,Imputed value
Production,Wine,1973,t,43183,I,Imputed value
Production,Wine,1974,t,38101.7,I,Imputed value
Production,Wine,1975,t,46958.8,I,Imputed value
Production,Wine,1976,t,49304.5,I,Imputed value
Production,Wine,1977,t,37926,I,Imputed value
Production,Wine,1978,t,52003,I,Imputed value
Production,Wine,1979,t,43918,I,Imputed value
Production,Wine,1980,t,45493,I,Imputed value
Production,Wine,1981,t,45402,I,Imputed value
Production,Wine,1982,t,45871,I,Imputed value
Production,Wine,1983,t,52822,I,Imputed value
Production,Wine,1984,t,60620,I,Imputed value
Production,Wine,1985,t,48209,I,Imputed value
Production,Wine,1986,t,57099,I,Imputed value
Production,Wine,1987,t,54761,I,Imputed value
Production,Wine,1988,t,54229,I,Imputed value
Production,Wine,1989,t,28980,I,Imputed value
Production,Wine,1990,t,33229,I,Imputed value
Production,Wine,1991,t,37786,I,Imputed value
Production,Wine,1992,t,33747,I,Imputed value
Production,Wine,1993,t,24948,I,Imputed value
Production,Wine,1994,t,30093,I,Imputed value
Production,Wine,1995,t,35483,I,Imputed value
Production,Wine,1996,t,33285,I,Imputed value
Production,Wine,1997,t,34447,I,Imputed value
Production,Wine,1998,t,39592,I,Imputed value
Production,Wine,1999,t,51170,I,Imputed value
Production,Wine,2000,t,42791,I,Imputed value
Production,Wine,2001,t,44534,I,Imputed value
Production,Wine,2002,t,46886,I,Imputed value
Production,Wine,2003,t,35889,I,Imputed value
Production,Wine,2004,t,52220,I,Imputed value
Production,Wine,2005,t,29134,I,Imputed value
Production,Wine,2006,t,52668,I,Imputed value
Production,Wine,2007,t,50155,I,Imputed value
Production,Wine,2008,t,54320,I,Imputed value
Production,Wine,2009,t,45388,I,Imputed value
Production,Wine,2010,t,50743,I,Imputed value
Production,Wine,2011,t,61418,I,Imputed value
Production,Wine,2012,t,62041,I,Imputed value
Production,Wine,2013,t,69720,I,Imputed value
Production,Wine,2014,t,58195.33,I,Imputed value
Production,Wine,2015,t,59790.31,I,Imputed value
Production,Wine,2016,t,63776.14,I,Imputed value
Production,Wine,2017,t,70433.22,I,Imputed value
Production,Wine,2018,t,70286.32,I,Imputed value
Production,Wine,2019,t,69660,I,Imputed value
Production,Wine,2020,t,65945.32,I,Imputed value
Production,Wine,2021,t,65357.33,I,Imputed value