"REF_DATE","GEO","DGUID","Area, production and farm value of potatoes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1910","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","89.9","","","","1"
"1911","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","151.4","","","","1"
"1912","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","141.0","","","","1"
"1913","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","124.4","","","","1"
"1914","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","109.2","","","","1"
"1915","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","148.4","","","","1"
"1916","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","113.4","","","","1"
"1917","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","100.1","","","","1"
"1918","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","136.9","","","","1"
"1919","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","102.0","","","","1"
"1920","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","98.9","","","","1"
"1921","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","105.6","","","","1"
"1922","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","119.9","","","","1"
"1923","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","116.0","","","","1"
"1924","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","108.2","","","","1"
"1925","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","104.7","","","","1"
"1926","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","97.2","","","","1"
"1927","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","112.9","","","","1"
"1928","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","96.9","","","","1"
"1929","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","92.9","","","","1"
"1930","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","96.1","","","","1"
"1931","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","106.7","","","","1"
"1932","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","119.0","","","","1"
"1933","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","96.0","","","","1"
"1934","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","116.0","","","","1"
"1935","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","107.0","","","","1"
"1936","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","112.0","","","","1"
"1937","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","121.0","","","","1"
"1938","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","96.0","","","","1"
"1939","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","102.0","","","","1"
"1940","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","122.0","","","","1"
"1941","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","96.0","","","","1"
"1942","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","100.0","","","","1"
"1943","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","115.1","","","","1"
"1944","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","112.1","","","","1"
"1945","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","99.0","","","","1"
"1946","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","127.1","","","","1"
"1947","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","125.0","","","","1"
"1948","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","127.9","","","","1"
"1949","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","138.0","","","","1"
"1950","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","139.8","","","","1"
"1951","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","120.0","","","","1"
"1952","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","156.0","","","","1"
"1953","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","180.0","","","","1"
"1954","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","169.2","","","","1"
"1955","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","165.0","","","","1"
"1956","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","176.4","","","","1"
"1957","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","207.4","","","","1"
"1958","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","165.0","","","","1"
"1959","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","194.8","","","","1"
"1960","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","192.7","","","","1"
"1961","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","184.2","","","","1"
"1962","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","185.2","","","","1"
"1963","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","184.9","","","","1"
"1964","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","191.0","","","","1"
"1965","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","200.0","","","","1"
"1966","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","201.8","","","","1"
"1967","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","191.9","","","","1"
"1968","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","194.4","","","","1"
"1969","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","210.8","","","","1"
"1970","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","209.1","","","","1"
"1971","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","234.4","","","","1"
"1972","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","217.4","","","","1"
"1973","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","228.6","","","","1"
"1974","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","227.8","","","","1"
"1975","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","250.0","","","","1"
"1976","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","238.9","","","","1"
"1977","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","254.5","","","","1"
"1978","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","220.0","","","","1"
"1979","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","260.0","","","","1"
"1980","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","240.0","","","","1"
"1981","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","190.0","","","","1"
"1982","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","230.0","","","","1"
"1983","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","220.0","","","","1"
"1984","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","230.0","","","","1"
"1985","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","240.0","","","","1"
"1986","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","260.0","","","","1"
"1987","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","284.0","","","","1"
"1988","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","250.0","","","","1"
"1989","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","310.0","","","","1"
"1990","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","220.0","","","","1"
"1991","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","284.9","","","","1"
"1992","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","295.1","","","","1"
"1993","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","255.0","","","","1"
"1994","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","280.0","","","","1"
"1995","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","305.0","","","","1"
"1996","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","240.0","","","","1"
"1997","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","225.0","","","","1"
"1998","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","240.0","","","","1"
"1999","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","260.0","","","","1"
"2000","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","260.0","","","","1"
"2001","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","280.0","","","","1"
"2002","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","290.0","","","","1"
"2003","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","295.0","","","","1"
"2004","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","290.0","","","","1"
"2005","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","275.0","","","","1"
"2006","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","280.0","","","","1"
"2007","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","300.0","","","","1"
"2008","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","310.0","","","","1"
"2009","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","290.0","","","","1"
"2010","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","300.0","","","","1"
"2011","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","275.0","","","","1"
"2012","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","275.0","","","","1"
"2013","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","280.0","","","","1"
"2014","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","269.5","","","","1"
"2015","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","274.0","","","","1"
"2016","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","315.0","","","","1"
"2017","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","285.0","","","","1"
"2018","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","318.2","","","","1"
"2019","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","325.0","","","","1"
"2020","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","331.5","","","","1"
"2021","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","330.2","","","","1"
"2022","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","320.0","","","","1"
"2023","British Columbia","2016A000259","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47160","11.2","369.0","","","","1"


